"fecha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2018 00:00";"28.0";"752.9";"755.1";"-0.3";"67";"Wind blowing from the north-east";"4";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.3";"";"";"";"";"";"";
"26.12.2018 21:00";"27.5";"753.2";"755.4";"-0.2";"72";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"26.6";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.9";"";"";"";"";"";"";
"26.12.2018 18:00";"30.3";"753.4";"755.6";"-1.6";"58";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"26.12.2018 15:00";"31.5";"755.0";"757.1";"-1.2";"51";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"26.12.2018 12:00";"29.2";"756.2";"758.5";"-0.6";"60";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"26.12.2018 09:00";"26.6";"756.8";"759.1";"0.4";"72";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"24.0";"28.0";"";"";"";"";"";"10.0";"21.2";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"26.12.2018 06:00";"24.4";"756.4";"758.5";"0.3";"79";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"26.12.2018 03:00";"25.4";"756.1";"758.2";"-0.3";"72";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"26.12.2018 00:00";"27.9";"756.4";"758.6";"0.6";"60";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"25.12.2018 21:00";"28.0";"755.8";"757.9";"0.5";"56";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"25.2";"30.8";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"25.12.2018 18:00";"29.9";"755.3";"757.5";"-1.2";"38";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"25.12.2018 15:00";"30.2";"756.5";"758.8";"-1.1";"42";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"25.12.2018 12:00";"27.9";"757.6";"759.8";"-0.7";"58";"Wind blowing from the north";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"25.12.2018 09:00";"25.2";"758.3";"760.6";"0.0";"70";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"22.5";"26.7";"";"";"";"";"";"10.0";"19.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"25.12.2018 06:00";"22.9";"758.3";"760.5";"0.6";"79";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"25.12.2018 03:00";"24.7";"757.7";"759.9";"-0.3";"63";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"25.12.2018 00:00";"26.3";"758.0";"760.2";"0.4";"60";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"24.12.2018 21:00";"26.7";"757.6";"759.8";"-0.1";"63";"Wind blowing from the north-east";"4";"";"";"no clouds";" ";"";"";"26.1";"30.8";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"24.12.2018 18:00";"29.8";"757.7";"760.0";"-1.4";"49";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"24.12.2018 15:00";"30.8";"759.1";"761.3";"-0.7";"37";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"24.12.2018 12:00";"29.2";"759.8";"762.1";"";"52";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"24.12.2018 09:00";"26.1";"760.3";"762.5";"0.5";"56";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"22.0";"26.3";"";"";"";"";"";"10.0";"16.5";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"24.12.2018 06:00";"22.5";"759.8";"762.0";"0.7";"63";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"24.12.2018 03:00";"24.4";"759.1";"761.2";"-0.3";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"24.12.2018 00:00";"25.8";"759.4";"761.5";"1.2";"68";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"23.12.2018 21:00";"26.3";"758.2";"760.4";"0.2";"60";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"24.3";"29.9";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"23.12.2018 18:00";"29.2";"758.0";"760.3";"-1.1";"39";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"23.12.2018 15:00";"29.3";"759.1";"761.2";"-0.7";"47";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"23.12.2018 12:00";"27.4";"759.8";"762.0";"-0.2";"50";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"23.12.2018 09:00";"24.3";"760.0";"762.2";"1.2";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.8";"24.3";"";"";"";"";"";"10.0";"14.9";"";"";"Surface of ground moist.";"18.0";"";"";
"23.12.2018 06:00";"20.4";"758.8";"761.0";"1.2";"80";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"23.12.2018 03:00";"22.2";"757.6";"759.8";"-0.4";"72";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"23.12.2018 00:00";"22.8";"758.0";"760.2";"1.0";"72";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"22.12.2018 21:00";"23.3";"757.0";"759.2";"0.6";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"22.2";"28.2";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"22.12.2018 18:00";"25.6";"756.4";"758.5";"-0.3";"58";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"22.12.2018 15:00";"28.0";"756.7";"758.9";"-0.1";"41";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.5";"";"";"";"";"";"";
"22.12.2018 12:00";"26.2";"756.8";"759.1";"0.0";"55";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.3";"";"";"";"";"";"";
"22.12.2018 09:00";"22.2";"756.8";"759.1";"0.9";"71";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"17.8";"23.7";"";"";"";"";"";"10.0";"16.7";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"22.12.2018 06:00";"18.7";"755.9";"758.2";"1.0";"85";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.2";"";"";"";"";"";"";
"22.12.2018 03:00";"19.9";"754.9";"757.1";"0.6";"86";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"22.12.2018 00:00";"22.1";"754.3";"756.4";"1.5";"76";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"21.12.2018 21:00";"23.7";"752.8";"755.0";"0.8";"65";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"21.2";"27.7";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"21.12.2018 18:00";"27.3";"752.0";"754.3";"";"47";"Wind blowing from the south-west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.9";"";"";"";"";"";"";
"21.12.2018 15:00";"26.9";"752.8";"755.0";"-0.3";"55";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"17.1";"";"";"";"";"";"";
"21.12.2018 12:00";"25.6";"753.1";"755.3";"-0.3";"61";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"21.12.2018 09:00";"21.2";"753.4";"755.6";"0.9";"82";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"19.6";"22.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.0";"56.0";"24";"Surface of ground moist.";"19.0";"";"";
